Date,Country/Territory/Area,Total confirmed cases,Total confirmed new cases,Total deaths,Total new deaths,Transmition classification,Days since last reported case
2020-03-13,Cote d’Ivoire,1.0,0.0,0.0,0.0,Imported cases only,1.0
2020-03-13,Democratic Republic of the Congo,1.0,0.0,0.0,0.0,Imported cases only,2.0
2020-03-13,Togo,1.0,0.0,0.0,0.0,Imported cases only,6.0
2020-03-13,International conveyance (Diamond Princess),696.0,0.0,7.0,0.0,Local transmission,5.0
2020-03-02,Republic of Korea,4212,476,22,4,Local transmission,0
2020-03-02,Japan,254,15,6,1,Local transmission,0
2020-03-02,Singapore,106,4,0,0,Local transmission,0
2020-03-02,Australia,27,2,1,1,Local transmission,0
2020-03-02,Malaysia,24,0,0,0,Local transmission,3
2020-03-02,Viet Nam,16,0,0,0,Local transmission,18
2020-03-02,Philippines,3,0,1,0,Imported cases only,27
2020-03-02,Cambodia,1,0,0,0,Imported cases only,35
2020-03-02,New Zealand,1,0,0,0,Imported cases only,3
2020-03-02,Italy,1689,561,35,6,Local transmission,0
2020-03-02,Germany,129,72,0,0,Local transmission,0
2020-03-02,France,100,0,2,0,Local transmission,1
2020-03-02,Spain,45,0,0,0,Local transmission,1
2020-03-02,The United Kingdom,36,13,0,0,Local transmission,0
2020-03-02,Switzerland,24,6,0,0,Local transmission,0
2020-03-02,Norway,19,4,0,0,Local transmission,0
2020-03-02,Sweden,14,1,0,0,Local transmission,0
2020-03-02,Netherlands,13,6,0,0,Local transmission,0
2020-03-02,Austria,10,0,0,0,Imported cases only,1
2020-03-02,Croatia,7,0,0,0,Local transmission,1
2020-03-02,Greece,7,4,0,0,Local transmission,0
2020-03-02,Israel,7,0,0,0,Local transmission,1
2020-03-02,Finland,6,4,0,0,Local transmission,0
2020-03-02,Denmark,4,1,0,0,Local transmission,0
2020-03-02,Azerbaijan,3,0,0,0,Imported cases only,1
2020-03-02,Czechia,3,3,0,0,Imported cases only,0
2020-03-02,Georgia,3,0,0,0,Imported cases only,1
2020-03-02,Romania,3,0,0,0,Imported cases only,2
2020-03-02,Iceland,2,2,0,0,Imported cases only,0
2020-03-02,Russian Federation,2,0,0,0,Imported cases only,31
2020-03-02,Armenia,1,1,0,0,Imported cases only,0
2020-03-02,Belarus,1,0,0,0,Imported cases only,3
2020-03-02,Belgium,1,0,0,0,Imported cases only,27
2020-03-02,Estonia,1,0,0,0,Imported cases only,4
2020-03-02,Ireland,1,0,0,0,Imported cases only,1
2020-03-02,Lithuania,1,0,0,0,Imported cases only,3
2020-03-02,Luxembourg,1,1,0,0,Imported cases only,0
2020-03-02,Monaco,1,0,0,0,Under investigation,1
2020-03-02,North Macedonia,1,0,0,0,Imported cases only,5
2020-03-02,San Marino,1,0,0,0,Local transmission,2
2020-03-02,Thailand,42,0,1,1,Local transmission,2
2020-03-02,India,3,0,0,0,Imported cases only,28
2020-03-02,Indonesia,2,2,0,0,Local transmission,0
2020-03-02,Nepal,1,0,0,0,Imported cases only,38**
2020-03-02,Sri Lanka,1,0,0,0,Imported cases only,35
2020-03-09,Luxembourg,2,0.0,0.0,0.0,Imported cases only,2.0
2020-03-09,Andorra,1,0.0,0.0,0.0,Imported cases only,6.0
2020-03-09,Armenia,1,0.0,0.0,0.0,Imported cases only,7.0
2020-03-09,Holy See,1,0.0,0.0,0.0,Under investigation,3.0
2020-03-09,Liechtenstein,1,0.0,0.0,0.0,Imported cases only,3.0
2020-03-09,Lithuania,1,0.0,0.0,0.0,Imported cases only,10.0
2020-03-09,Monaco,1,0.0,0.0,0.0,Under investigation,8.0
2020-03-09,Republic of Moldova,1,0.0,0.0,0.0,Imported cases only,1.0
2020-03-09,Serbia,1,0.0,0.0,0.0,Under investigation,3.0
